Titel;Autor;hkat;ukat1;Kat3;Schlagworte
Zeit zu hassen, Zeit zu lieben;Willi Fährmann;5;18;;
Der Mann im Feuer;Willi Fährmann;5;18;;
Ich kann es nicht vergessen;Margaret I. Rostkowski;5;18;;
Tisha;Robert Specht;5;18;;
Cuore;Edmondo De Amicis;5;18;;
Spuk in der Schule;Carol Drinkwater;5;18;;
Gläserne Bienen;Ernst Jünger;5;18;;
Völkerschlachtsdenkmal;Erich Loest;5;18;;
Die schwarze Muse;Dieter Hirschberg;5;18;;
Station Victoria;Anne Cuneo;5;18;;
Sturz der Titanen;Ken Follett;5;18;;
Der Fluch von Troja;Bellinda;5;18;;
Merlin und Artus;Rosemary Sutcliff;9;12;;
Merlin und Artus;Rosemary Sutcliff;9;12;;
Lanzelot und Ginevra;Rosemary Sutcliff;9;12;;
Der Rebell und der Herzog;Hanns Maria Lux;5;19;;
das Abenteuerliche Leben des Doktor Faust;Felix Huby;5;19;;
Wolfgang Amadé;Valerian Tornius;5;19;;
Wolfsrudel;Floortje Zwigtmann;5;19;;
Totenbraut;Nina Blazon;5;19;;
das verschwundene Testament der Alice Shadwell;Rainer M. Schröder;5;19;;
Der abenteuerliche Simplicissimus;Hans Jakob Christoffel von Grimmelshausen;5;19;;
Der abenteuerliche Simplicissimus;Hans Jakob Christoffel von Grimmelshausen;5;19;;
Trenck;Bruno Frank;5;19;;
Verrat!;Inge Ott;5;19;;
Die letzte Frist;Valentin Rasputin;5;19;;
Der junge Wiking;T.Vos-Dahmen von Buchholz;5;20;;
Reiter aus der Sonne;Josef Carl Grund;5;20;;
Überfall der Wikinger;Leif Esper Andersen;5;20;;
Der goldene Kegel;Gabriele Beyerlein;5;20;;
Der eiserne Heinrich;Christa Ludwig;5;20;;
Mordred, Sohn des Artus;Nancy Springer;5;20;;
Jenseits von Aran;Arnulf Zitelmann;5;20;;
Vom Skamander zum Löwentor;Heinrich Schliemann;5;13;;
Leonidas und seine Dreihundert;Mary Renault;5;13;;
Entscheidung bei Salamis;Wolfram zu Mondfeld;5;13;;
Die Trojanerin;Katherine Allfrey;5;13;;
Die Nacht der Zugvögel;Eva Rechlin;5;13;;
Der Komet von Samos;T. Vos-Dahmen von Buchholz;5;13;;
Im Zeichen von Olympia;Margaret Hodges;5;13;;
Letzter Kampf in Olympia;Dieter Müller;5;13;;
Gefahr für Olympia;Katherine Roberts;5;13;;
Die Geschichten von Herodot;Heinrich Pleticha;5;13;;
Sokrates vor Gericht;Mason;5;13;;
Der Fluch von Troja;Bellinda;5;13;;
Wettlauf in Olympia;Olaf Fritsche;5;13;;
Marco Polo- Abenteuer im Reich der Mitte;Milton Rugoff;5;21;;
Edle Räuber, große Gauner;Ludwig Barring;5;21;;
Robin Hood;Howard Pyle;5;21;;
Robin Hood;Howard Pyle;5;21;;
Klaus Störtebeker;Gustav Schalk;5;21;;
Ben Mahkis oder Die Reise in das Abendland;Kurt Wasserfall;5;21;;
Catherine - Lady wider Willen;Karen Cushman;5;21;;
Das Siegel;Wolfgang Hohlbein;5;21;;
Der Name der Rose;Umberto Eco;5;21;;
Der Medicus;Noah Gordon;5;21;;
